"Monthly-mean 2-d atmosphere or land surface data (longitude, latitude, time:month)",,,,,,,,,
,,,,,,,,,
CF standard name,Long_name,Output variable name,Units,Scalar dims,Cell Method,Positive Flux Dir.,Min Value,Max Value,Notes
CF25_FAIL tendency_of_atmosphere_mass_content_of_anthropogenic_black_carbon_dry_aerosol_due_to_emission,Anthropogenic Emission Rate of Black Carbon Aerosol Mass,emiabc,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,Includes agricultural waste burning but no other biomass burning. proposed name: tendency_of_atmosphere_mass_content_of_anthropogenic_black_carbon_dry_aerosol_due_to_emission. Integrate 3D emission field vertically to 2d field.
tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_due_to_dry_deposition,Dry Deposition Rate of Dry Aerosol Organic Matter,dryoa,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,"This is the sum of dry deposition of POA and dry deposition of SOA (see next two entries). 'Mass' refers to the mass of organic matter, not mass of organic carbon alone. We recommend a scale factor of POM=1.4*OC, unless your model has more detailed info available. Was called dry_pom in old ACCMIP Excel table. Dry deposition includes gravitational settling, impact scavenging, and turbulent deposition."
tendency_of_atmosphere_mass_content_of_black_carbon_dry_aerosol_due_to_dry_deposition,Dry Deposition Rate of Black Carbon Aerosol Mass,drybc,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,"Dry deposition includes gravitational settling, impact scavenging, and turbulent deposition. "
tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_due_to_wet_deposition,Wet Deposition Rate of Dry Aerosol Organic Matter,wetoa,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,"This is the sum of wet deposition of POA and wet deposition of SOA (see next two entries). 'Mass' refers to the mass of organic matter, not mass of organic carbon alone. We recommend a scale factor of POM=1.4*OC, unless your model has more detailed info available. Was called wet_pom in old ACCMIP Excel spreadsheet."
tendency_of_atmosphere_mass_content_of_black_carbon_dry_aerosol_due_to_wet_deposition,Wet Deposition Rate of Black Carbon Aerosol Mass,wetbc,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,
tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_emission,Total Emission Rate of SO2,emiso2,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,Integrate 3D emission field vertically to 2d field.
CF25_FAIL tendency_of_atmosphere_mass_content_of_anthropogenic_sulfur_dioxide_due_to_emission,Anthropogenic Emission Rate of SO2,emiaso2,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,Includes agricultural waste burning but no other biomass burning. proposed name: tendency_of_atmosphere_mass_content_of_anthropogenic_sulfur_dioxide_due_to_emission. Integrate 3D emission field vertically to 2d field.
tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_due_to_emission,Total Direct Emission Rate of SO4,emiso4,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,expressed as a tendency of atmosphere mass content of SO4.  Direct emission does not include secondary sulfate production. Integrate 3D emission field vertically to 2d field.
CF25_FAIL tendency_of_atmosphere_mass_content_of_anthropogenic_sulfate_dry_aerosol_due_to_emission,Anthropogenic Direct Emission Rate of SO4,emiaso4,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,Includes agricultural waste burning but no other biomass burning. Expressed as a tendency of atmosphere mass content of SO4.  Direct emission does not include secondary sulfate production.  proposed name: tendency_of_atmosphere_mass_content_of_anthropogenic_sulfate_dry_aerosol_due_to_emission. Integrate 3D emission field vertically to 2d field.
tendency_of_atmosphere_mass_content_of_dimethyl_sulfide_due_to_emission,Total Emission Rate of DMS,emidms,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,Integrate 3D emission field vertically to 2d field.
tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_dry_deposition,Dry Deposition Rate of SO2,dryso2,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,"dry deposition includes gravitational settling, impact scavenging, and turbulent deposition"
tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_due_to_dry_deposition,Dry Deposition Rate of SO4,dryso4,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,"dry deposition includes gravitational settling, impact scavenging, and turbulent deposition"
tendency_of_atmosphere_mass_content_of_dimethyl_sulfide_due_to_dry_deposition,Dry Deposition Rate of DMS,drydms,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,"dry deposition includes gravitational settling, impact scavenging, and turbulent deposition"
CF25_FAIL tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_due_to_wet_deposition,Wet Deposition Rate of SO4,wetso4,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,proposed name: tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_due_to_wet_deposition
tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_wet_deposition,Wet Deposition Rate of SO2,wetso2,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,
tendency_of_atmosphere_mass_content_of_dimethyl_sulfide_due_to_wet_deposition,Wet Deposition Rate of DMS,wetdms,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,
tendency_of_atmosphere_mass_content_of_ammonia_due_to_emission,Total Emission Rate of NH3,eminh3,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,Integrate 3D emission field vertically to 2d field.
CF25_FAIL tendency_of_atmosphere_mass_content_of_anthropogenic_ammonia_due_to_emission,Anthropogenic Emission Rate of NH3,emianh3,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,Includes agricultural waste burning but no other biomass burning. proposed name: tendency_of_atmosphere_mass_content_of_anthropogenic_ammonia_due_to_emission. Integrate 3D emission field vertically to 2d field.
tendency_of_atmosphere_mass_content_of_ammonia_due_to_dry_deposition,Dry Deposition Rate of NH3,drynh3,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,"dry deposition includes gravitational settling, impact scavenging, and turbulent deposition"
tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_due_to_dry_deposition,Dry Deposition Rate of NH4,drynh4,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,"dry deposition includes gravitational settling, impact scavenging, and turbulent deposition"
tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_due_to_wet_deposition,Wet Deposition Rate of NH4,wetnh4,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,
