"Monthly-mean zonal mean 2-d atmosphere or land surface data (latitude, pressure, time:month) Provide output interpolated to fixed pressure levels at:",,,,,,,,,
1000 850 700 500 400 300 250 200 170 150 130 115 100 90 80 70 50 30 20 15 10 7 5 3 2 1.5 1 0.5 0.3 0.2 0.1,,,,,,,,,"(interpolate first each column to fixed pressure levels, then calculate zonal mean; take into account missing values)"
,,,,,,,,,
CF standard name,Long_name,Output variable name,Units,Scalar dims,Cell Method,Positive Flux Dir.,Min Value,Max Value,Notes
mole_fraction_of_total_inorganic_bromine_in_air,Zonal Mean Total Inorganic Bromine (Bry) Volume Mixing Ratio,zmbry,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,"Total inorganic bromine (e.g., HBr and inorganic bromine oxides and radicals (e.g., BrO, atomic bromine (Br), bromine nitrate (BrONO2)) resulting from degradation of bromine-containing organic source gases (halons, methyl bromide, VSLS), and natural inorganic bromine sources (e.g., volcanoes, sea salt, and other aerosols).  Add comment attribute with detailed description about how the model calculates these fields e.g. Bry = Br + BrO + HOBr + HBr + BrONO2 + BrCl."
mole_fraction_of_atomic_chlorine_in_air,Zonal Mean Cl Volume Mixing Ratio,zmcl,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_chlorine_monoxide_in_air,Zonal Mean ClO Volume Mixing Ratio,zmclo,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_dichlorine_peroxide_in_air,Zonal Mean ClOOCl Volume Mixing Ratio,zmcl2o2,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_hypochlorous_acid_in_air,Zonal Mean HOCl Volume Mixing Ratio,zmhocl,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_chlorine_dioxide_in_air,Zonal Mean OClO Volume Mixing Ratio,zmoclo,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_hydroxyl_radical_in_air,Zonal Mean OH Volume Mixing Ratio,zmoh,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_hydroperoxyl_radical_in_air,Zonal Mean HO2 Volume Mixing Ratio,zmho2,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_hydrogen_peroxide_in_air,Zonal Mean H2O2 Volume Mixing Ratio,zmh2o2,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_molecular_hydrogen_in_air,Zonal Mean H2 Volume Mixing Ratio,zmh2,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_atomic_nitrogen_in_air,Zonal Mean N Volume Mixing Ratio,zmn,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_nitrogen_monoxide_in_air,Zonal Mean NO Volume Mixing Ratio,zmno,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_nitrogen_dioxide_in_air,Zonal Mean NO2 Volume Mixing Ratio,zmno2,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
